Alicate Amperimetro,,Minipa,1251,1251,ET-320A290748,ET-3200A,TÉCNICA CALIB.,2001354,2020-03-04,2022-02-22,ALMOXARIFADO
Multimetro Digital,,Minipa,1412,NC,ET-2651001482,ET-2651,LAFTEC,2224246,2022-10-20,2024-04-12,ALMOXARIFADO
Alicate Amperimetro,,Minipa,1421,1421,ET320A322396,ET-3200A,LAFTEC,2415647,2024-06-24,2026-06-14,OBRA 118
Alicate Amperimetro,,Minipa,1422,1422,ET-320A322399,ET-3200A,LAF METROLOGIA,1800615,2018-02-08,2020-01-29,ALMOXARIFADO
Alicate Amperimetro,,Fluke,1915,1915,40440567WS,325,LAFTEC,2305350,2023-03-10,2025-02-27,OBRA 118
Alicate Amperimetro,,Fluke,2000,2000,48765280MV,325,TECNICA CALIB.,2504613,2025-02-17,2027-02-07,OBRA 118
Alicate Amperimetro,,Minipa,AL-12,AL-12,N/C,ET-3810,LAF METROLOGIA,1800614,2018-02-08,2020-01-29,ALMOXARIFADO
Alicate Amperimetro Digital,,Minipa,572,572,N/C,ET-3166,METRUS,E0688004-0619,2019-06-04,2021-05-24,ALMOXARIFADO
Alicate Amperimetro Digital,,Minipa,861,861,N/C,ET-3200A,LAFTEC,E0688001-0618,2018-06-08,2020-05-28,ALMOXARIFADO
Alicate Amperimetro Digital,,,862,862,ET320A240644,ET-3200A,LAFTEC,2415648,2024-06-24,2026-06-14,OBRA 118
Alicate Amperimetro Digital,,Fluke,1914,1914,40440566WS,325,LAFTEC,2504612,2025-02-17,2027-02-07,OBRA 118
Alicate Amperimetro Digital,,Fluke,2042,2042,54782711MV,325,LAFTEC,2434026,2024-10-18,2026-10-08,OBRA 118
Alicate Amperimetro Digital,,Fluke,2113,2113,58600204MV,326,LAFTEC,2307943,2023-03-28,2025-03-17,OBRA 118
Axial (HIDROMETRO),BOING,AKVOMETER,L22AK0000016,L22AK0000016,L22AK0000016,N/C,HIDROMETER,08090/25A,2025-03-13,2027-03-03,OBRA 118
Balança,,Filizola,BAL-001,BAL-001,3115/2008,MF-6/1,LAF METROLOGIA,1800661,2018-02-07,2020-01-28,ALMOXARIFADO
Balança Digital,,Welmy,1922,1922,21331,BCW6/15/30,LAFTEC,2415650,2024-06-19,2025-06-19,OBRA 118
Haste Padrão,325 mm | 325 mm,Digimess,BPA-001,BPA-001,N/C,N/C,LAFTEC,2506021,2025-02-27,2026-02-22,ALMOXARIFADO
Haste Padrão,375 mm | 375 mm,Digimess,BPA-002,BPA-002,N/C,N/C,LAFTEC,2506022,2025-02-27,2026-02-22,ALMOXARIFADO
Barra Padrão,,Digimess,BPA-003,BPA-003,N/C,N/C,METROLOGIA 9000,MTR 2432-20,2020-07-13,2025-06-17,ALMOXARIFADO
Barra Padrão,,Digimess,BPA-004,BPA-004,N/C,N/C,METROLOGIA 9000,MTR 2433-20,2020-07-13,2025-06-17,ALMOXARIFADO
Barra Padrão,,Digimess,BPA-005,BPA-005,N/C,N/C,METROLOGIA 9000,MTR 2434-20,2020-07-14,2025-06-18,ALMOXARIFADO
Barra Padrão,,Digimess,BPA-006,BPA-006,N/C,N/C,METROLOGIA 9000,MTR 2435-20,2020-07-14,2025-06-18,ALMOXARIFADO
Bloco Escalonado,,SBF END,BL 02,BL 02,1911617,N/C,LAFTEC,2300722,2023-01-23,2025-01-12,OBRA 118
Bloco Escalonado,,SBF END,BL 03,BL 03,1911717,N/C,METROLOGIA 9000,MTR2415-20,2020-07-14,2022-07-04,ALMOXARIFADO
Bloco Escalonado,,SBF END,BL 04,BL 04,1911817,N/C,METROLOGIA 9000,MTR2417-20,2020-07-14,2022-07-04,ALMOXARIFADO
Bloco Escalonado,,SBF END,BL 06,BL 06,1912017,N/C,LAFTEC,2211561,2022-05-30,2024-05-19,ALMOXARIFADO
Bloco Escalonado,,N/C,1934,1934,N/C,BLOCO ESC,LAFTEC,2415651,2024-06-18,2026-06-08,OBRA 118
