,
Alicate Multímetro Digital,É uma ferramenta de medição de tensão com alguns recursos de corrente.
Alicate Volt-Amperímetro (Analógico/Digital),É um instrumento utilizado para medir a corrente elétrica. 
Amperímetro (Analógico/Digital),
Balança Analógica, A balança mede o peso e exibe o resultado de maneira analógica. 
Balança Digital,É uma balança eletrônica com microprocessador 
Barra Padrão para Ensaio de Dureza (Barra/Esfera),São utilizadas com os micrômetros analógicos e/ou digitais para ajustar o ponto de referência no início ou no fim de sua capacidade.
Barra Padrão para Micrômetro Externo,
Bloco Curvo /Padrão de Calib. Phased Array,"Possui séries de furos laterais, furos inclinados (angulares) e furos próximos à superfície."
Bloco Escalonado,Para calibrar a escala de espessura de transdutores em equipamentos de ultrassom e medição de espessura.
Bloco Padrão de Espessura (Película de Tinta),Revela se a pintura é original ou sofreu polimento em excesso.
Bloco Padrão para Ultra-Som,"É um componente da área de END , verificar pontos de saídas do feixe, resolução e ângulos do ultrassom antes do ensaio de uma peça"
Bureta,Sua função é realizar dosagens exatas de soluções em outros recipientes.
Calibrador de Profundidade Digital,Permite a integração no sistema de medida assim como o processo estatístico junto com um conector de saída dos dados.
Calibrador de Temperatura Cappo Plus,"Para atender as necessidades de medição e calibração de temperatura, grandezas elétricas e pressão."
Calibre de Solda,"Para medir todos os parâmetros de uma solda em milímetros,faz medições em todos os valores existentes na construção soldada. Espessura da peça até 40mm."
Caneta Dosimétrica,É um medidor que utiliza a capacidade de emissão de luz de materiais quando expostos à radiação. Esta quantidade de luz é proporcional a quantidade de radiação que o dosímetro foi exposto
Célula de Carga,"É um transdutor de força que converte a carga que atua sobre ele em uma saída elétrica mensurável, as células de carga baseadas em sensores de deformação e tensão são as mais usadas."
Clinômetro,Instrumento manual para medir a inclinação de uma superfície plana em relação ao horizonte.
Contador Gaiger,"Ele contém um tubo com argônio, que se ioniza ao ser atravessado por partículas alfa e beta da radiação, fechando o circuito elétrico e acionando o contador."
Controlador de Temperatura (Analógico/Digital),"Os controladores servem para manter a temperatura de um equipamento, produto ou ambiente em uma temperatura definida"
Cronômetro,"Instrumento de precisão, dotado de pêndulo, e capaz de medir o tempo em frações de segundo."
Decibelimetro,É um equipamento utilizado para realizar a medição dos níveis de pressão sonora em ambientes externos e internos.
Densitômetro (Ensaio Radiográfico),"É um instrumento usado para medir a densidade óptica (grau de opacidade) de uma superfície,mede a quantidade de luz refletida."
Detector de Fuga de Gás ,É um dispositivo que detecta a presença de gases em uma área.
Detector Multigás,É um dispositivo usado por um operador para monitorar a zona de respiração.
Dinamômetro,É um aparelho utilizado para medir a intensidade da força.
Durômetro Portátil ,"É um equipamento que avalia a dureza de materiais dos mais diversos tipos, o valor é medido pela profundidade da penetração no material sob teste."
Eddy Current,"O teste de correntes parasitas é baseado no fenômeno físico da indução eletromagnética. Em uma sonda de corrente parasita, uma corrente alternada flui através de uma bobina de arame e gera um campo magnético oscilante."
Esfigmomanômetro,"Instrumento que mede a pressão sanguínea, e a pressão arterial."
Esquadro (com ou sem escala),"Para traçar linhas perpendiculares e algumas linhas inclinadas, também pode ser usado para medir e verificar ângulos retos."
Esquadro Combinado,Pode ser utilizado para encontrar centros de objetos redondos. Se utilizado da forma correta também serve para para medir profundidade de cavas e outras superfícies.
Esquadro de Lâmina,"Utilizado para se obter melhor visualização, em virtude da pequena superfície de contato."
Esquadro de Precisão/ Analógico ,Tem a finalidade de verificar o alinhamento e a perpendicularidade entre superfícies de peças variadas.
Estação Total/Teodolito,É um equipamento eletrônico utilizado para medidas de ângulos e distâncias nos levantamentos topográficos.
Extensometro ,"São sensores baseados em resistência elétrica, comportando-se como um resistor.Um transdutor capaz de medir deformações mecânicas em corpos de prova."
Fasímetro,Mede a diferença de fase entre dois sinais periódicos que possuem a mesma frequência.
Fluxometro (bibimetro),Usado para medir vazões de gás CO2 Argônio ou misturas nas operações de soldagem MIG MAG TIG e arame tubular. Pode ser usado em qualquer modelo de tocha. Usado na boca da tocha para medir a vazão de saída do gás.
Goniometro,"É um instrumento de medição ou de verificação de medidas angulares, termo genérico para instrumentos de medir ângulos."
Haste Padrão,Utilizadas para zeragem de micrômetros externos para roscas.
Higrômetro,Serve para medir a umidade de gases ou do ar.
Hi-Lo  (Soldagem),É utilizado para a verificação dimensional da geometria das juntas a serem soldadas e dos parâmetros das soldas realizadas. Ideal para verificação da soldagem nas montagens de dutos. Além de ser usado para a medição da perna da solda e do reforço da face da solda.
Holliday Detector (Detector de Descontinuidade),Verificar a condição do meio isolante de diversos materiais.
Luxímetro,"Serve para medir a intensidade da luz que chega a seu sensor,  faz a medição da luz distribuída em uma área ou superfície."
Manômetro de Leitura Direta,É a ferramenta utilizada para medir a pressão dentro de um sistema de pulverização.
Manômetro Máquina de Jato,Esse instrumento é responsável por medir a pressão de gases e líquidos dentro de recipientes.
Manômetro Registrador de Pressão Analógico,É um equipamento utilizado para medir a pressão dos gases industriais.
Máquina de Medição Linear,"É constituído por uma fita de aço, fibra ou tecido, graduada em uma ou em ambas as faces, ao longo de seu comprimento, com traços transversais."
