"Descrição","Especificação","Fabricante","Patrimônio","TAG","Número de Série","Modelo","Laboratório de Calibração","Certificado de Calibração nº","Data da Calibração","Data Próxima Calibração","Obra/Local"
"Alicate Amperimetro",,"Minipa",1251,1251,"ET-320A290748","ET-3200A","TÉCNICA CALIB.",2001354,04/03/20,22/02/22,"ALMOXARIFADO"
"Alicate Amperimetro",,"Minipa",1412,1412,"ET2651001482","ET-2651","LAF METROLOGIA",1800616,08/02/18,29/01/20,"ALMOXARIFADO"
"Alicate Amperimetro",,"Minipa",1421,1421,"ET320A322396","ET-3200A","LAFTEC",2415647,24/06/24,14/06/26,"OBRA 118"
"Alicate Amperimetro",,"Minipa",1422,1422,"ET-320A322399","ET-3200A","LAF METROLOGIA",1800615,08/02/18,29/01/20,"ALMOXARIFADO"
"Alicate Amperimetro",,"Fluke",1915,1915,"40440567WS",325,"LAFTEC",2305350,10/03/23,27/02/25,"OBRA 118"
"Alicate Amperimetro",,"Fluke",2000,2000,"48765280MV",325,"TECNICA CALIB.",2504613,17/02/25,07/02/27,"OBRA 118"
"Alicate Amperimetro",,"Minipa","AL-12","AL-12","N/C","ET-3810","LAF METROLOGIA",1800614,08/02/18,29/01/20,"ALMOXARIFADO"
"Alicate Amperimetro Digital",,"Minipa",572,572,"N/C","ET-3166","METRUS","E0688004-0619",04/06/19,24/05/21,"ALMOXARIFADO"
"Alicate Amperimetro Digital",,"Minipa",861,861,"N/C","ET-3200A","LAFTEC","E0688001-0618",08/06/18,28/05/20,"ALMOXARIFADO"
"Alicate Amperimetro Digital",,,862,862,"ET320A240644","ET-3200A","LAFTEC",2415648,24/06/24,14/06/26,"OBRA 118"
"Alicate Amperimetro Digital",,"Fluke",1914,1914,"40440566WS",325,"LAFTEC",2504612,17/02/25,07/02/27,"OBRA 118"
"Alicate Amperimetro Digital",,"Fluke",2042,2042,"54782711MV",325,"LAFTEC",2434026,18/10/24,08/10/26,"OBRA 118"
"Alicate Amperimetro Digital",,"Fluke",2113,2113,"58600204MV",326,"LAFTEC",2307943,28/03/23,17/03/25,"OBRA 118"
"Axial (HIDROMETRO)","BOING","AKVOMETER","L22AK0000016","L22AK0000016","L22AK0000016","N/C","HIDROMETER","08090/25A",13/03/25,03/03/27,"OBRA 118"
"Balança ",,"Filizola","BAL-001","BAL-001","3115/2008","MF-6/1","LAF METROLOGIA",1800661,07/02/18,28/01/20,"ALMOXARIFADO"
"Balança Digital",,"Welmy",1922,1922,21331,"BCW6/15/30","LAFTEC",2415650,19/06/24,19/06/25,"OBRA 118"
"Balança Eletronica","BOING","Toledo","N/C","N/C",13311593,"2099/38","BILLMAKER QUALIDADE","18474/24",28/10/24,28/10/25,"OBRA 118"
"Barra Padrão",,"Digimess","BPA-001","BPA-001","N/C","N/C","METROLOGIA 9000","MTR 2430-20",13/07/20,17/06/25,"ALMOXARIFADO"
"Barra Padrão",,"Digimess","BPA-002","BPA-002","N/C","N/C","METROLOGIA 9000","MTR 2431-20",13/07/20,17/06/25,"ALMOXARIFADO"
"Barra Padrão",,"Digimess","BPA-003","BPA-003","N/C","N/C","METROLOGIA 9000","MTR 2432-20",13/07/20,17/06/25,"ALMOXARIFADO"
"Barra Padrão",,"Digimess","BPA-004","BPA-004","N/C","N/C","METROLOGIA 9000","MTR 2433-20",13/07/20,17/06/25,"ALMOXARIFADO"
"Barra Padrão",,"Digimess","BPA-005","BPA-005","N/C","N/C","METROLOGIA 9000","MTR 2434-20",14/07/20,18/06/25,"ALMOXARIFADO"
"Barra Padrão",,"Digimess","BPA-006","BPA-006","N/C","N/C","METROLOGIA 9000","MTR 2435-20",14/07/20,18/06/25,"ALMOXARIFADO"
"Bloco Curvo - Padrão de Calib.- Phased Array",,"SBF END","N/C","N/C","N/C","N/C","SBF END","002737-21",08/11/21,13/10/26,"ALMOXARIFADO"
"Bloco Escalonado",,"SBF END","BL 02","BL 02",1911617,"N/C","LAFTEC",2300722,23/01/23,12/01/25,"OBRA 118"
"Bloco Escalonado",,"SBF END","BL 03","BL 03",1911717,"N/C","METROLOGIA 9000","MTR2415-20",14/07/20,04/07/22,"ALMOXARIFADO"
"Bloco Escalonado",,"SBF END","BL 04","BL 04",1911817,"N/C","METROLOGIA 9000","MTR2417-20",14/07/20,04/07/22,"ALMOXARIFADO"
"Bloco Escalonado",,"SBF END","BL 06","BL 06",1912017,"N/C","LAFTEC",2211561,30/05/22,19/05/24,"ALMOXARIFADO"
"Bloco Escalonado ",,"N/C",1934,1934,"N/C","BLOCO ESC","LAFTEC",2415651,18/06/24,08/06/26,"OBRA 118"
